assays,colors,start,end,label_pos,y_pos,divider_lines
VSRB,#E5E5E5,-89.5,210.5,60.5,-2.5,no
BSL1,#CCCCCC,61,361,211,-1.1,yes
BSL2,#BFBFBF,361,661,511,-1.1,yes
BSL3,#A6A6A6,661,961,811,-1.1,yes
BSL4,#8C8C8C,961,1260,1110.5,-1.1,yes
VSR1,#ffe062,1110.5,1410.5,1260.5,-2.5,no
VMR1,#ffd014,1260,1860,1560.5,-1.1,yes
VSR2,#e0a7fc,1710.5,2010.5,1860.5,-2.5,no
VMR2,#d98dff,1860,2161,2011,-1.1,no
VMR3,#CC66FF,2161,2461,2311,-1.1,yes
VMR4,#b442ed,2461,2761,2611,-1.1,yes
VMR5,#8f20c7,2761,3060,2910.5,-1.1,yes
ASR1,#a5d0fa,3060,3310,3182.5,-1.1,yes
ISI1,#3a9bfc,3060,3310,3182.5,-2.5,yes
IEI1,#f2a2d8,3230,3445,3337,-3.9,no
ASR2,#92c5f7,3363,3620,3487.5,-1.1,yes
ISI2,#1f87f0,3363,3620,3487.5,-2.5,yes
IEI2,#ed8acd,3515,3729,3622,-3.9,no
IBI,#29d1c4,3729,4190,3944.5,-3.9,no
ASHsum,#22b9ae,3665,4210,3937.5,-1.1,yes
ASH1,#38f5eb,3665,3915,3792.5,-2.5,yes
IEI3,#eb78c5,4193,4407,4300,-3.9,no
ASR3,#6bb6ff,4380,4640,4507.5,-1.1,yes
ISI3,#0b75e0,4380,4640,4507.5,-2.5,yes
