"assay_order","endpoint","stimulus_name","stimulus_name2","stimulus_n","start_s","end_s"
-1,"Acclimation_1","Visual light",NA,NA,0,1
-1,"Acclimation_1","Visual light",NA,NA,1,2
-1,"Acclimation_1","Visual light",NA,NA,2,3
-1,"Acclimation_1","Visual light",NA,NA,3,4
-1,"Acclimation_1","Visual light",NA,NA,4,5
-1,"Acclimation_1","Visual light",NA,NA,5,6
-1,"Acclimation_1","Visual light",NA,NA,6,7
-1,"Acclimation_1","Visual light",NA,NA,7,8
-1,"Acclimation_1","Visual light",NA,NA,8,9
-1,"Acclimation_1","Visual light",NA,NA,9,10
-1,"Acclimation_1","Visual light",NA,NA,10,11
-1,"Acclimation_1","Visual light",NA,NA,11,12
-1,"Acclimation_1","Visual light",NA,NA,12,13
-1,"Acclimation_1","Visual light",NA,NA,13,14
-1,"Acclimation_1","Visual light",NA,NA,14,15
-1,"Acclimation_1","Visual light",NA,NA,15,16
-1,"Acclimation_1","Visual light",NA,NA,16,17
-1,"Acclimation_1","Visual light",NA,NA,17,18
-1,"Acclimation_1","Visual light",NA,NA,18,19
-1,"Acclimation_1","Visual light",NA,NA,19,20
-1,"Acclimation_1","Visual light",NA,NA,20,21
-1,"Acclimation_1","Visual light",NA,NA,21,22
-1,"Acclimation_1","Visual light",NA,NA,22,23
-1,"Acclimation_1","Visual light",NA,NA,23,24
-1,"Acclimation_1","Visual light",NA,NA,24,25
-1,"Acclimation_1","Visual light",NA,NA,25,26
-1,"Acclimation_1","Visual light",NA,NA,26,27
-1,"Acclimation_1","Visual light",NA,NA,27,28
-1,"Acclimation_1","Visual light",NA,NA,28,29
-1,"Acclimation_1","Visual light",NA,NA,29,30
-1,"Acclimation_1","Visual light",NA,NA,30,31
-1,"Acclimation_1","Visual light",NA,NA,31,32
-1,"Acclimation_1","Visual light",NA,NA,32,33
-1,"Acclimation_1","Visual light",NA,NA,33,34
-1,"Acclimation_1","Visual light",NA,NA,34,35
-1,"Acclimation_1","Visual light",NA,NA,35,36
