ModuleName	ParameterName	TypeAnnotation	FinalXML	TracePath
saqc.funcs.breaks	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.breaks	gap_window	OffsetStr	"<param type=""text"" argument=""gap_window"" label=""Minimum gap size required before and after a data group to consider it isolated"" help=""See condition (2) and (3)"" />"	Param: 'gap_window' -> Annotation: 'OffsetStr' -> is_simple_type
saqc.funcs.breaks	group_window	OffsetStr	"<param type=""text"" argument=""group_window"" label=""Maximum size of a data chunk to consider it a candidate for an isolated group"" help=""Data chunks that are bigger than the `group_window` are ignored. This does not include the possible gaps surrounding it. See condition (1)"" />"	Param: 'group_window' -> Annotation: 'OffsetStr' -> is_simple_type
saqc.funcs.breaks	flag	float	"<param type=""float"" argument=""flag"" label=""flag"" help="":py:class:`Any`, optional The flag value the function uses to mark observations. Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type
saqc.funcs.breaks	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.breaks	thresh	Float >= 0	"<param type=""float"" argument=""thresh"" label=""Threshold value by which the mean of data has to jump, to trigger flagging"" help=""Threshold value by which the mean of data has to jump, to trigger flagging"" min=""0"" />"	Param: 'thresh' -> Annotation: 'Float >= 0' -> is_simple_type
saqc.funcs.breaks	window	OffsetStr	"<param type=""text"" argument=""window"" label=""Size of the two moving windows"" help=""This determines the number of observations used for calculating the mean in every window. The window size should be big enough to yield enough samples for a reliable mean calculation, but it should also not be arbitrarily big, since it also limits the density of jumps that can be detected. More precisely: Jumps that are not distanced to each other by more than three fourth (3/4) of the selected `window` size, will not be detected reliably"" />"	Param: 'window' -> Annotation: 'OffsetStr' -> is_simple_type
saqc.funcs.breaks	min_periods	Int >= 0	"<param type=""integer"" argument=""min_periods"" label=""min_periods"" help=""The minimum number of observations in `window` required to calculate a valid mean value"" optional=""true"" value=""0"" min=""0"" />"	Param: 'min_periods' -> Annotation: 'Int >= 0' -> is_simple_type
saqc.funcs.breaks	flag	float	"<param type=""float"" argument=""flag"" label=""flag"" help="":py:class:`Any`, optional The flag value the function uses to mark observations. Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type
saqc.funcs.breaks	dfilter	float	"<param type=""float"" argument=""dfilter"" label=""dfilter"" help="":py:class:`Any`, optional Defines which observations will be masked based on the already existing flags. Any data point with a flag equal or worse to this threshold will be passed as ``NaN`` to the function. Defaults to the ``DFILTER_ALL`` value of the translation scheme"" optional=""true"" value=""-inf"" />"	Param: 'dfilter' -> Annotation: 'float' -> is_simple_type
saqc.funcs.breaks	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
saqc.funcs.breaks	flag	float	"<param type=""float"" argument=""flag"" label=""flag"" help="":py:class:`Any`, optional The flag value the function uses to mark observations. Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type
saqc.funcs.breaks	dfilter	float	"<param type=""float"" argument=""dfilter"" label=""dfilter"" help="":py:class:`Any`, optional Defines which observations will be masked based on the already existing flags. Any data point with a flag equal or worse to this threshold will be passed as ``NaN`` to the function. Defaults to the ``DFILTER_ALL`` value of the translation scheme"" optional=""true"" value=""-inf"" />"	Param: 'dfilter' -> Annotation: 'float' -> is_simple_type
saqc.funcs.changepoints	field	str	"<param type=""text"" argument=""field"" label=""Variable to process"" help=""Variable to process"" />"	Param: 'field' -> Annotation: 'str' -> is_simple_type
