ModuleName	ParameterName	TypeAnnotation	FinalXML	TracePath
saqc.funcs.breaks	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.breaks	gap_window	str	"<param type=""text"" argument=""gap_window"" label=""Minimum gap size required before and after a data group to consider it isolated"" help=""See condition (2) and (3)"" value="""" />"	Param: 'gap_window' -> Annotation: 'str' -> is_simple_type -> type_is_str
saqc.funcs.breaks	group_window	str	"<param type=""text"" argument=""group_window"" label=""Maximum size of a data chunk to consider it a candidate for an isolated group"" help=""Data chunks that are bigger than the `group_window` are ignored. This does not include the possible gaps surrounding it. See condition (1)"" value="""" />"	Param: 'group_window' -> Annotation: 'str' -> is_simple_type -> type_is_str
saqc.funcs.breaks	flag	float	"<param type=""float"" argument=""flag"" label=""Any, optional The flag value the function uses to mark observations"" help=""Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.breaks	field	str	"<param type=""text"" argument=""field"" label=""Field"" help=""The name of the variable to process."" value="""" />"	Param: 'field' -> Annotation: 'str' -> is_field_or_target -> is_single_str
saqc.funcs.breaks	thresh	float	"<param type=""float"" argument=""thresh"" label=""Threshold value by which the mean of data has to jump, to trigger flagging"" help=""Threshold value by which the mean of data has to jump, to trigger flagging"" value="""" />"	Param: 'thresh' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.breaks	window	str	"<param type=""text"" argument=""window"" label=""Size of the two moving windows"" help=""This determines the number of observations used for calculating the mean in every window. The window size should be big enough to yield enough samples for a reliable mean calculation, but it should also not be arbitrarily big, since it also limits the density of jumps that can be detected. More precisely: Jumps that are not distanced to each other by more than three fourth (3/4) of the selected `window` size, will not be detected reliably"" value="""" />"	Param: 'window' -> Annotation: 'str' -> is_simple_type -> type_is_str
saqc.funcs.breaks	min_periods	int	"<param type=""integer"" argument=""min_periods"" label=""min_periods"" help=""The minimum number of observations in `window` required to calculate a valid mean value"" optional=""true"" value=""1"" />"	Param: 'min_periods' -> Annotation: 'int' -> is_simple_type -> type_is_int
saqc.funcs.breaks	flag	float	"<param type=""float"" argument=""flag"" label=""Any, optional The flag value the function uses to mark observations"" help=""Defaults to the ``BAD`` value of the translation scheme"" optional=""true"" value=""255.0"" />"	Param: 'flag' -> Annotation: 'float' -> is_simple_type -> type_is_float
saqc.funcs.breaks	dfilter	float	"<param type=""float"" argument=""dfilter"" label=""dfilter"" help=""Any, optional Defines which observations will be masked based on the already existing flags. Any data point with a flag equal or worse to this threshold will be passed as ``NaN`` to the function. Defaults to the ``DFILTER_ALL`` value of the translation scheme"" optional=""true"" value=""-inf"" />"	Param: 'dfilter' -> Annotation: 'float' -> is_simple_type -> type_is_float
